NAME|VIDEO|START|END|SPEAKER_ID|GLOSS|TEXT
0pKzG0RRUz4_7-2-rgb_front|sample/0pKzG0RRUz4_7-2-rgb_front.mp4|NULL|NULL|NULL|NULL|Whatever length, we can just keep on adding hair forever and ever and it will just go on and on.
0pKzG0RRUz4_8-1-rgb_front|sample/0pKzG0RRUz4_8-1-rgb_front.mp4|NULL|NULL|NULL|NULL|We can make them as long as we want.
0pKzG0RRUz4_8-2-rgb_front|sample/0pKzG0RRUz4_8-2-rgb_front.mp4|NULL|NULL|NULL|NULL|We can make them as long as we want.
0zvsqf23tmw_1-1-rgb_front|sample/0zvsqf23tmw_1-1-rgb_front.mp4|NULL|NULL|NULL|NULL|And in this segment, I'm going to just start paint in the background color.
0zvsqf23tmw_1-2-rgb_front|sample/0zvsqf23tmw_1-2-rgb_front.mp4|NULL|NULL|NULL|NULL|And in this segment, I'm going to just start paint in the background color.
0zvsqf23tmw_10-1-rgb_front|sample/0zvsqf23tmw_10-1-rgb_front.mp4|NULL|NULL|NULL|NULL|I'm going to start on the edge so I can get the edge painted in against the skyline.
0zvsqf23tmw_10-2-rgb_front|sample/0zvsqf23tmw_10-2-rgb_front.mp4|NULL|NULL|NULL|NULL|I'm going to start on the edge so I can get the edge painted in against the skyline.
0zvsqf23tmw_11-1-rgb_front|sample/0zvsqf23tmw_11-1-rgb_front.mp4|NULL|NULL|NULL|NULL|I'm just doing a dark hill here.
0zvsqf23tmw_11-2-rgb_front|sample/0zvsqf23tmw_11-2-rgb_front.mp4|NULL|NULL|NULL|NULL|I'm just doing a dark hill here.
0zvsqf23tmw_12-1-rgb_front|sample/0zvsqf23tmw_12-1-rgb_front.mp4|NULL|NULL|NULL|NULL|I'm trying to define the edges and then kinda just dry-brush it to fill it in a little bit.
0zvsqf23tmw_12-2-rgb_front|sample/0zvsqf23tmw_12-2-rgb_front.mp4|NULL|NULL|NULL|NULL|I'm trying to define the edges and then kinda just dry-brush it to fill it in a little bit.
0zvsqf23tmw_13-1-rgb_front|sample/0zvsqf23tmw_13-1-rgb_front.mp4|NULL|NULL|NULL|NULL|I don't want too much paint on the wall.
0zvsqf23tmw_13-2-rgb_front|sample/0zvsqf23tmw_13-2-rgb_front.mp4|NULL|NULL|NULL|NULL|I don't want too much paint on the wall.
0zvsqf23tmw_14-1-rgb_front|sample/0zvsqf23tmw_14-1-rgb_front.mp4|NULL|NULL|NULL|NULL|And you really don't need to use a lot of paint.
0zvsqf23tmw_14-2-rgb_front|sample/0zvsqf23tmw_14-2-rgb_front.mp4|NULL|NULL|NULL|NULL|And you really don't need to use a lot of paint.
0zvsqf23tmw_15-1-rgb_front|sample/0zvsqf23tmw_15-1-rgb_front.mp4|NULL|NULL|NULL|NULL|You don't need a lot of paint on your brush.
0zvsqf23tmw_15-2-rgb_front|sample/0zvsqf23tmw_15-2-rgb_front.mp4|NULL|NULL|NULL|NULL|You don't need a lot of paint on your brush.
0zvsqf23tmw_16-1-rgb_front|sample/0zvsqf23tmw_16-1-rgb_front.mp4|NULL|NULL|NULL|NULL|You want to just kinda take it easy and then use more paint as you start filling in your details.
0zvsqf23tmw_16-2-rgb_front|sample/0zvsqf23tmw_16-2-rgb_front.mp4|NULL|NULL|NULL|NULL|You want to just kinda take it easy and then use more paint as you start filling in your details.
0zvsqf23tmw_17-1-rgb_front|sample/0zvsqf23tmw_17-1-rgb_front.mp4|NULL|NULL|NULL|NULL|So right now, we're just kinda put a tiny bit of paint on there.
0zvsqf23tmw_17-2-rgb_front|sample/0zvsqf23tmw_17-2-rgb_front.mp4|NULL|NULL|NULL|NULL|So right now, we're just kinda put a tiny bit of paint on there.
0zvsqf23tmw_18-1-rgb_front|sample/0zvsqf23tmw_18-1-rgb_front.mp4|NULL|NULL|NULL|NULL|And this entire mural is going to kinda fade in to the wall.
0zvsqf23tmw_18-2-rgb_front|sample/0zvsqf23tmw_18-2-rgb_front.mp4|NULL|NULL|NULL|NULL|And this entire mural is going to kinda fade in to the wall.
0zvsqf23tmw_19-1-rgb_front|sample/0zvsqf23tmw_19-1-rgb_front.mp4|NULL|NULL|NULL|NULL|It's not going to be a wall-to-wall mural so I just want to make sure that I use less paint the farther out that I go.
0zvsqf23tmw_19-2-rgb_front|sample/0zvsqf23tmw_19-2-rgb_front.mp4|NULL|NULL|NULL|NULL|It's not going to be a wall-to-wall mural so I just want to make sure that I use less paint the farther out that I go.
0zvsqf23tmw_2-1-rgb_front|sample/0zvsqf23tmw_2-1-rgb_front.mp4|NULL|NULL|NULL|NULL|And when you do a children's wall mural, you probably most likely want to always start with, like, your sky first.
0zvsqf23tmw_2-2-rgb_front|sample/0zvsqf23tmw_2-2-rgb_front.mp4|NULL|NULL|NULL|NULL|And when you do a children's wall mural, you probably most likely want to always start with, like, your sky first.
0zvsqf23tmw_3-1-rgb_front|sample/0zvsqf23tmw_3-1-rgb_front.mp4|NULL|NULL|NULL|NULL|You want to do your background before you get all your objects and those are--it should always be last.
